"DATE","PER","SITE","WEB","TRN","SPECIES","AGE","SEX","SUB","CNT","BURNED","COMMENTS","Taxa_genus","Taxa_species"
"6/4/2003","2003E","BOGR",5,12,"XACO","4","F","SOIL",2,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,12,"XACO","4","M","SOIL",3,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,36,"PSDE","4","F","BOGR2",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,36,"PSDE","4","M","BOGR2",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,36,"PSDE","4","M","SOIL",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,36,"TRPA","4","F","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,36,"TRPA","4","M","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,36,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,36,"XACO","4","F","SOIL",2,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,36,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,60,"PSDE","4","F","BOGR2",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,60,"PSDE","4","M","BOGR2",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,60,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,60,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,60,"TRPA","4","M","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,60,"XACO","4","F","BOGR2",2,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,60,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,60,"XACO","4","M","SOIL",4,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,84,"PSDE","4","F","BOGR2",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,84,"PSDE","4","F","SCBR2",1,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,84,"PSDE","4","F","SOIL",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,84,"PSDE","4","M","SOIL",3,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,84,"TRPA","4","F","SOIL",5,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,84,"TRPA","4","M","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,84,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,108,"PSDE","4","F","BOGR2",1,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,108,"PSDE","4","M","BOGR2",1,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,108,"PSDE","4","F","SOIL",4,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,108,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,108,"PSDE","4","M","SOIL",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,108,"TRPA","4","F","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,108,"TRPA","4","M","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,108,"XACO","4","F","BOGR2",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,108,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,108,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,132,"PSDE","4","F","SOIL",4,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,132,"PSDE","4","M","SOIL",2,".","","Psoloessa","delicatula"
"6/4/2003","2003E","BOGR",5,132,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,132,"TRPA","4","M","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/4/2003","2003E","BOGR",5,132,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2003","2003E","BOGR",5,132,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/3/2003","2003E","LATR",1,12,"ARPS","4","M","SOIL",1,".","","Arphia","pseudonietana"
"6/3/2003","2003E","LATR",1,12,"PSTE","4","F","SOIL",1,".","","Psoloessa","texana"
"6/3/2003","2003E","LATR",1,12,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,12,"TRPA","4","M","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,36,"PHRO","4","F","SOIL",1,".","","Phrynotettix","robustus"
"6/3/2003","2003E","LATR",1,36,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,36,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,36,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,60,"CIPA","4","F","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",1,60,"CIPA","4","M","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",1,60,"CIPA","4","M","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",1,60,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,84,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,84,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,108,"ARCO","4","F","SOIL",1,".","IN GRASSY SWALE AREAS","Arphia","conspersa"
"6/3/2003","2003E","LATR",1,108,"CIPA","4","M","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",1,108,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,108,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,132,"CIPA","4","M","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",1,132,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",1,132,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,12,"ARCO","4","M","SOIL",1,".","","Arphia","conspersa"
"6/3/2003","2003E","LATR",2,12,"CIPA","4","F","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",2,12,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/3/2003","2003E","LATR",2,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/3/2003","2003E","LATR",2,12,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,12,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,12,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,12,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,12,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,12,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/3/2003","2003E","LATR",2,36,"CIPA","4","F","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",2,36,"CIPA","4","M","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",2,36,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,36,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,60,"CIPA","4","F","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",2,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/3/2003","2003E","LATR",2,84,"CIPA","4","F","SOIL",2,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",2,84,"CIPA","4","M","SOIL",1,".","","Cibolacris","parviceps"
"6/3/2003","2003E","LATR",2,84,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
