"Date","Location","Lure","North","West","Notes","species_code","count","Taxa_genus","Taxa_species","Taxa_family"
"2010-09-09","1","","64.69594","-148.28554","","Ips.spp","4","Ips","spp","NA"
"2010-09-09","2","","64.70825","-148.31544","","Ips.spp","10","Ips","spp","NA"
"2010-09-09","3","","64.72714","-148.31812","","Ips.spp","5","Ips","spp","NA"
"2010-09-09","4","","64.75367","-148.2997","","Ips.spp","0","Ips","spp","NA"
"2010-09-09","5","","64.76624","-148.29547","","Ips.spp","7","Ips","spp","NA"
"2011-08-16","1","Woodborer","64.69594","-148.28554","","Ips.spp","21","Ips","spp","NA"
"2011-08-16","1","Ethanol","64.69594","-148.28554","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","1","Spruce Beetle","64.69594","-148.28554","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","1","Ips","64.69594","-148.28554","","Ips.spp","21","Ips","spp","NA"
"2011-08-16","1","Alpha Pinene and Ethanol","64.69594","-148.28554","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","2","Spruce Beetle","64.70825","-148.31544","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","2","Ips","64.70825","-148.31544","","Ips.spp","26","Ips","spp","NA"
"2011-08-16","2","Ethanol","64.70825","-148.31544","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","2","Alpha Pinene and Ethanol","64.70825","-148.31544","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","2","Woodborer","64.70825","-148.31544","","Ips.spp","21","Ips","spp","NA"
"2011-08-16","3","Ips","64.72714","-148.31812","","Ips.spp","6","Ips","spp","NA"
"2011-08-16","3","Woodborer","64.72714","-148.31812","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","3","Spruce Beetle","64.72714","-148.31812","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","3","Ethanol","64.72714","-148.31812","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","3","Alpha Pinene and Ethanol","64.72714","-148.31812","Not counted samples damaged prior to collection","Ips.spp","N/A","Ips","spp","NA"
"2011-08-16","4","Ips","64.72714","-148.2997","","Ips.spp","1","Ips","spp","NA"
"2011-08-16","4","Woodborer","64.72714","-148.2997","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","4","Alpha Pinene and Ethanol","64.72714","-148.2997","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","4","Spruce Beetle","64.72714","-148.2997","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","4","Ethanol","64.72714","-148.2997","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","5","Alpha Pinene and Ethanol","64.72714","-148.29547","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","5","Woodborer","64.72714","-148.29547","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","5","Ips","64.72714","-148.29547","","Ips.spp","2","Ips","spp","NA"
"2011-08-16","5","Ethanol","64.72714","-148.29547","","Ips.spp","0","Ips","spp","NA"
"2011-08-16","5","Spruce Beetle","64.72714","-148.29547","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","1","Woodborer","64.72714","-148.28554","","Ips.spp","5","Ips","spp","NA"
"2011-06-21","1","Spruce Beetle","64.72714","-148.28554","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","1","Ethanol","64.72714","-148.28554","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","1","Ips","64.72714","-148.28554","","Ips.spp","280","Ips","spp","NA"
"2011-06-21","1","Alpha Pinene and Ethanol","64.72714","-148.28554","","Ips.spp","1","Ips","spp","NA"
"2011-06-21","2","Ips","64.72714","-148.31544","","Ips.spp","267","Ips","spp","NA"
"2011-06-21","2","Spruce Beetle","64.72714","-148.31544","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","2","Ethanol","64.72714","-148.31544","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","2","Alpha Pinene and Ethanol","64.72714","-148.31544","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","2","Woodborer","64.72714","-148.31544","","Ips.spp","6","Ips","spp","NA"
"2011-06-21","5","Alpha Pinene and Ethanol","64.72714","-148.29547","","Ips.spp","2","Ips","spp","NA"
"2011-06-21","5","Ethanol","64.72714","-148.29547","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","5","Woodborer","64.72714","-148.29547","","Ips.spp","113","Ips","spp","NA"
"2011-06-21","5","Spruce Beetle","64.72714","-148.29547","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","4","Alpha Pinene and Ethanol","64.72714","-148.2997","","Ips.spp","0","Ips","spp","NA"
"2011-06-21","5","Ips","64.72714","-148.29547","","Ips.spp","464","Ips","spp","NA"
